"filename", "language", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Bishop.cs", "C#", -10, 0, 0, 0, 2, -8
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Board.cs", "C#", 31, 0, 0, 7, 6, 44
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\BoardEvent.cs", "C#", 47, 0, 0, 0, 9, 56
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\CastleMove.cs", "C#", 61, 0, 0, 3, 9, 73
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Chess.csproj", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Circle.cs", "C#", -19, 0, 0, -2, 0, -21
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Direction.cs", "C#", 4, 0, 0, 0, 1, 5
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\DoublePawnMove.cs", "C#", 34, 0, 0, 0, 4, 38
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\DrawGamestate.cs", "C#", 11, 0, 0, 0, 2, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\EnPassantMove.cs", "C#", 29, 0, 0, 0, 4, 33
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\GameState.cs", "C#", 34, 0, 0, -2, 1, 33
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IMove.cs", "C#", 9, 0, 0, 0, 0, 9
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IPiece.cs", "C#", -2, 0, 0, 0, 0, -2
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\King.cs", "C#", 33, 0, 0, 0, 19, 52
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Knight.cs", "C#", -6, 0, 0, 0, 4, -2
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Move.cs", "C#", 2, 0, 0, 0, 1, 3
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MoveIndicators.cs", "C#", -37, 0, 0, 0, -4, -41
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NormalMove.cs", "C#", 11, 0, 0, 0, 4, 15
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Pawn.cs", "C#", 13, 0, 0, 0, 7, 20
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Piece.cs", "C#", -20, 0, 0, -2, 3, -19
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceFactory.cs", "C#", -15, 0, 0, 0, 0, -15
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Position.cs", "C#", -8, 0, 0, 0, 0, -8
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Program.cs", "C#", 5, 0, 0, 0, 2, 7
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PromotionMove.cs", "C#", 15, 0, 0, 0, 1, 16
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Properties\launchSettings.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Queen.cs", "C#", -16, 0, 0, 0, 3, -13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Rook.cs", "C#", -10, 0, 0, 0, 3, -7
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Shape.cs", "C#", -5, 0, 0, 0, -1, -6
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\SlidingPiece.cs", "C#", 37, 0, 0, 0, 4, 41
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Sound.cs", "C#", 25, 0, 0, 0, 6, 31
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Sounds.cs", "C#", 31, 0, 0, 0, 3, 34
"Total", "-", 284, 8, 3, 4, 94, 393
